MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,HouseOwnerFlag,NumberCarsOwned,CommuteDistance,Age,country_Europe,country_North America,country_Pacific,BikeBuyer
1,1,0.5,0.4,0,1,0,0.25,0.2112676056,0,0,1,1
0,1,0.3125,0.6,0.6,0,0.25,0,0.2253521127,0,0,1,1
1,1,0.3125,0.6,0.6,1,0.25,0.5,0.2253521127,0,0,1,1
0,0,0.375,0,0,0,0.25,0.75,0.1830985915,0,0,1,1
0,0,0.4375,1,1,1,1,0.25,0.1830985915,0,0,1,1
0,1,0.375,0,0,1,0.25,0.75,0.2253521127,0,0,1,1
0,0,0.375,0,0,1,0.25,0.75,0.2112676056,0,0,1,1
1,1,0.3125,0.6,0.6,1,0.5,0,0.2394366197,0,0,1,1
0,0,0.3125,0.8,0.8,1,0.75,1,0.2394366197,0,0,1,1
0,1,0.375,0,0,0,0.25,0.75,0.2394366197,0,0,1,1
0,0,0.375,0,0,0,0.25,0.75,0.2394366197,0,0,1,1
1,1,0.3125,0.8,0.8,1,1,1,0.2394366197,0,0,1,1
1,0,0.5625,0.4,0,1,0.5,0.25,0.1830985915,0,1,0,0
1,1,0.5625,0.4,0,1,0.75,0,0.1830985915,0,1,0,0
0,0,0.5625,0.6,0,0,0.75,0.25,0.1830985915,0,1,0,0
0,0,0.125,0,0,0,0.25,0.75,0.02816901408,0,1,0,1
1,1,0.125,0,0,1,0.25,0.75,0.02816901408,0,1,0,1
0,0,0.0625,0.8,0,1,0.5,0.75,0.5211267606,0,0,1,1
0,1,0.125,0.4,0,1,0.5,0.75,0.5070422535,0,0,1,1
0,1,0.1875,0,0,0,0.5,0.75,0.04225352113,0,1,0,0
0,1,0.1875,0,0,0,0.5,0.25,0.02816901408,0,1,0,1
0,0,0.1875,0,0,0,0.25,0.25,0.04225352113,0,1,0,1
1,1,0.1875,0,0,1,0.25,0.75,0.02816901408,0,1,0,1
1,1,0.1875,0,0,1,0.25,0.25,0.02816901408,0,1,0,0
1,1,0.3125,0,0,1,0.5,0.75,0.02816901408,0,1,0,0
1,1,0,0.4,0.2,1,0.5,0.25,0.4929577465,0,0,1,1
0,1,0.125,0.4,0,0,0.5,0.25,0.4929577465,0,0,1,1
1,1,0.125,0.4,0,1,0.5,0.75,0.4788732394,0,0,1,1
1,0,0.125,0.4,0,1,0.5,0.25,0.4929577465,0,0,1,1
1,1,0.125,0.4,0,1,0.5,0.25,0.4788732394,0,0,1,1
1,0,0,0.4,0.2,1,0.5,0.25,0.4788732394,0,0,1,1
1,0,0.0625,0.8,0,1,0.5,0.25,0.4788732394,0,0,1,1
1,0,0.0625,0.8,0,1,0.5,0.25,0.4788732394,0,0,1,1
1,1,0.0625,0.8,0,1,0.5,0.75,0.4647887324,0,0,1,1
1,0,0.0625,0.8,0,1,0.5,0.75,0.4788732394,0,0,1,1
1,0,0,0.4,0.2,1,0.5,0.25,0.4647887324,0,0,1,1
1,0,0.3125,0,0,1,0.5,0.25,0.02816901408,0,1,0,1
0,0,0.1875,0,0,0,0.5,0.75,0.04225352113,0,1,0,1
1,0,0,0.4,0.2,1,0.5,0.75,0.4647887324,0,0,1,1
1,1,0.125,0.6,0,1,0.5,0.75,0.4507042254,0,0,1,1
1,1,0.125,0,0,1,0.5,0.25,0.05633802817,0,1,0,1
1,0,0.3125,0,0,1,0.5,0.25,0.04225352113,0,1,0,1
1,0,0.375,0,0,1,0.5,0,0.05633802817,0,1,0,1
1,1,0.3125,0,0,1,0.5,0.75,0.07042253521,0,1,0,0
1,1,0.0625,0.4,0.2,1,0.5,0.25,0.4507042254,0,0,1,1
0,1,0.125,0.6,0,0,0.5,0.25,0.4366197183,0,0,1,0
1,0,0.125,0.6,0,1,0.5,0.75,0.4366197183,0,0,1,1
1,0,0.125,0.6,0,0,0.5,0.25,0.4366197183,0,0,1,1
1,1,0.125,0.6,0,1,0.5,0.75,0.4225352113,0,0,1,1
0,0,0.1875,0,0,1,0.5,0.75,0.01408450704,0,1,0,0
1,1,0.125,0.6,0,1,0.5,0.75,0.4225352113,0,0,1,1
0,1,0.125,0.6,0,0,0.5,0.25,0.4225352113,0,0,1,0
0,0,0.1875,0.4,0,0,0.5,0.75,0.4225352113,0,0,1,1
1,0,0.3125,0,0,0,0.5,0.25,0.01408450704,0,1,0,1
1,0,0.1875,0.4,0,1,0.5,0.75,0.4084507042,0,0,1,1
1,1,0.1875,0.4,0,1,0.5,0.75,0.4084507042,0,0,1,1
1,0,0.1875,0.6,0,1,0.5,0.75,0.3943661972,0,0,1,1
1,1,0.375,0.4,0,1,0.5,0.25,0.3802816901,0,0,1,1
1,1,0.4375,0.4,0,1,0.5,0.25,0.3802816901,0,0,1,1
0,0,0.4375,0.4,0,1,0.5,0.75,0.3802816901,0,0,1,0
1,1,0.4375,0.4,0,1,0.5,0.75,0.3802816901,0,0,1,1
