CustomerKey,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,HouseOwnerFlag,NumberCarsOwned,CommuteDistance,Region,Age
11000,M,M,90000,2,0,1,0,1-2 Miles,Pacific,49
11001,S,M,60000,3,3,0,1,0-1 Miles,Pacific,50
11002,M,M,60000,3,3,1,1,2-5 Miles,Pacific,50
11003,S,F,70000,0,0,0,1,5-10 Miles,Pacific,47
11004,S,F,80000,5,5,1,4,1-2 Miles,Pacific,47
11005,S,M,70000,0,0,1,1,5-10 Miles,Pacific,50
11006,S,F,70000,0,0,1,1,5-10 Miles,Pacific,49
11007,M,M,60000,3,3,1,2,0-1 Miles,Pacific,51
11008,S,F,60000,4,4,1,3,10+ Miles,Pacific,51
11009,S,M,70000,0,0,0,1,5-10 Miles,Pacific,51
11010,S,F,70000,0,0,0,1,5-10 Miles,Pacific,51
11011,M,M,60000,4,4,1,4,10+ Miles,Pacific,51
11012,M,F,100000,2,0,1,2,1-2 Miles,North America,47
11013,M,M,100000,2,0,1,3,0-1 Miles,North America,47
11014,S,F,100000,3,0,0,3,1-2 Miles,North America,47
11015,S,F,30000,0,0,0,1,5-10 Miles,North America,36
11016,M,M,30000,0,0,1,1,5-10 Miles,North America,36
11017,S,F,20000,4,0,1,2,5-10 Miles,Pacific,71
11018,S,M,30000,2,0,1,2,5-10 Miles,Pacific,70
11019,S,M,40000,0,0,0,2,5-10 Miles,North America,37
11020,S,M,40000,0,0,0,2,1-2 Miles,North America,36
11021,S,F,40000,0,0,0,1,1-2 Miles,North America,37
11022,M,M,40000,0,0,1,1,5-10 Miles,North America,36
11023,M,M,40000,0,0,1,1,1-2 Miles,North America,36
11024,M,M,60000,0,0,1,2,5-10 Miles,North America,36
11025,M,M,10000,2,1,1,2,1-2 Miles,Pacific,69
11026,S,M,30000,2,0,0,2,1-2 Miles,Pacific,69
11027,M,M,30000,2,0,1,2,5-10 Miles,Pacific,68
11028,M,F,30000,2,0,1,2,1-2 Miles,Pacific,69
11029,M,M,30000,2,0,1,2,1-2 Miles,Pacific,68
11030,M,F,10000,2,1,1,2,1-2 Miles,Pacific,68
11031,M,F,20000,4,0,1,2,1-2 Miles,Pacific,68
11032,M,F,20000,4,0,1,2,1-2 Miles,Pacific,68
11033,M,M,20000,4,0,1,2,5-10 Miles,Pacific,67
11034,M,F,20000,4,0,1,2,5-10 Miles,Pacific,68
11035,M,F,10000,2,1,1,2,1-2 Miles,Pacific,67
11036,M,F,60000,0,0,1,2,1-2 Miles,North America,36
11037,S,F,40000,0,0,0,2,5-10 Miles,North America,37
11038,M,F,10000,2,1,1,2,5-10 Miles,Pacific,67
11039,M,M,30000,3,0,1,2,5-10 Miles,Pacific,66
11040,M,M,30000,0,0,1,2,1-2 Miles,North America,38
11041,M,F,60000,0,0,1,2,1-2 Miles,North America,37
11042,M,F,70000,0,0,1,2,0-1 Miles,North America,38
11043,M,M,60000,0,0,1,2,5-10 Miles,North America,39
11044,M,M,20000,2,1,1,2,1-2 Miles,Pacific,66
11045,S,M,30000,3,0,0,2,1-2 Miles,Pacific,65
11046,M,F,30000,3,0,1,2,5-10 Miles,Pacific,65
11047,M,F,30000,3,0,0,2,1-2 Miles,Pacific,65
11048,M,M,30000,3,0,1,2,5-10 Miles,Pacific,64
11049,S,F,40000,0,0,1,2,5-10 Miles,North America,35
11050,M,M,30000,3,0,1,2,5-10 Miles,Pacific,64
11051,S,M,30000,3,0,0,2,1-2 Miles,Pacific,64
11052,S,F,40000,2,0,0,2,5-10 Miles,Pacific,64
11053,M,F,60000,0,0,0,2,1-2 Miles,North America,35
11054,M,F,40000,2,0,1,2,5-10 Miles,Pacific,63
11055,M,M,40000,2,0,1,2,5-10 Miles,Pacific,63
11056,M,F,40000,3,0,1,2,5-10 Miles,Pacific,62
11057,M,M,70000,2,0,1,2,1-2 Miles,Pacific,61
11058,M,M,80000,2,0,1,2,1-2 Miles,Pacific,61
11059,S,F,80000,2,0,1,2,5-10 Miles,Pacific,61
11060,M,M,80000,2,0,1,2,5-10 Miles,Pacific,61
11061,M,M,80000,2,0,1,2,5-10 Miles,Pacific,61
11062,M,M,40000,0,0,1,2,5-10 Miles,North America,40
11063,S,F,40000,0,0,1,2,5-10 Miles,North America,40
11064,M,M,40000,0,0,1,2,5-10 Miles,North America,39
11065,M,F,60000,0,0,0,2,1-2 Miles,North America,41
11066,M,F,70000,0,0,1,2,5-10 Miles,North America,41
11067,S,M,60000,0,0,1,2,5-10 Miles,North America,38
11068,S,F,80000,2,0,1,2,5-10 Miles,Pacific,59
11069,S,F,80000,2,0,0,2,1-2 Miles,Pacific,59
11070,M,M,80000,2,0,1,2,5-10 Miles,Pacific,60
11071,S,F,80000,2,0,1,2,5-10 Miles,Pacific,60
11072,S,F,80000,2,0,0,2,1-2 Miles,Pacific,60
11073,S,F,70000,2,0,1,2,5-10 Miles,Pacific,59
11074,S,M,70000,2,0,1,2,5-10 Miles,Pacific,59
11075,S,F,80000,2,0,1,2,5-10 Miles,Pacific,57
11076,S,M,80000,2,0,1,2,5-10 Miles,Pacific,58
11077,S,F,80000,2,0,0,2,1-2 Miles,Pacific,57
11078,S,F,40000,0,0,0,2,1-2 Miles,North America,41
11079,S,M,160000,0,0,1,2,0-1 Miles,Pacific,56
11080,M,M,170000,0,0,1,2,0-1 Miles,Pacific,56
11081,M,F,120000,2,2,1,3,2-5 Miles,North America,49
11082,S,F,130000,0,1,0,3,1-2 Miles,North America,49
11083,M,F,130000,0,1,1,3,1-2 Miles,North America,49
11084,S,M,80000,2,0,0,2,1-2 Miles,North America,58
11085,S,F,60000,2,0,0,2,5-10 Miles,North America,58
11086,M,M,70000,2,1,1,0,0-1 Miles,North America,57
11087,M,F,70000,3,2,0,0,0-1 Miles,North America,57
11088,M,M,80000,2,1,1,0,2-5 Miles,North America,57
11089,S,F,80000,2,1,1,1,2-5 Miles,North America,58
11090,S,M,90000,2,0,1,1,2-5 Miles,North America,57
11091,M,M,90000,2,0,1,1,5-10 Miles,North America,58
11092,M,F,90000,2,2,1,0,1-2 Miles,Pacific,48
11093,M,F,100000,0,0,1,0,0-1 Miles,Pacific,48
11094,S,M,70000,1,0,0,1,0-1 Miles,Pacific,53
11095,S,M,70000,1,0,1,1,5-10 Miles,Pacific,53
11096,M,M,60000,1,0,1,1,5-10 Miles,Pacific,53
11097,M,M,60000,1,0,1,1,5-10 Miles,Pacific,53
11098,S,F,60000,1,0,0,1,0-1 Miles,Pacific,54
11099,M,M,60000,1,0,1,1,0-1 Miles,Pacific,54
11100,S,F,60000,1,0,1,1,5-10 Miles,Pacific,54
11101,S,F,70000,0,0,0,1,0-1 Miles,Pacific,50
11102,S,F,80000,5,5,1,4,1-2 Miles,Pacific,50
11103,S,F,70000,0,0,1,1,5-10 Miles,Pacific,50
11104,M,M,70000,0,0,0,1,0-1 Miles,Pacific,51
11105,S,F,70000,0,0,0,1,5-10 Miles,Pacific,50
11106,S,M,70000,0,0,0,1,5-10 Miles,Pacific,51
11107,M,F,90000,1,0,1,1,5-10 Miles,Pacific,56
11108,S,F,70000,0,0,0,2,0-1 Miles,Pacific,52
11109,S,M,70000,0,0,0,2,0-1 Miles,Pacific,51
11110,M,M,60000,1,0,1,1,5-10 Miles,Pacific,53
11111,M,F,60000,1,0,1,1,0-1 Miles,Pacific,53
11112,M,F,60000,1,0,1,1,0-1 Miles,Pacific,53
11113,M,M,70000,5,4,1,2,5-10 Miles,Pacific,53
11114,S,F,70000,5,4,1,2,5-10 Miles,Pacific,53
11115,M,M,70000,5,4,1,2,0-1 Miles,Pacific,53
11116,M,M,70000,5,4,1,2,5-10 Miles,Pacific,52
11117,M,F,70000,5,4,1,3,10+ Miles,Pacific,54
11118,S,M,80000,1,0,0,1,0-1 Miles,Pacific,58
11119,S,M,30000,2,0,0,2,0-1 Miles,Pacific,80
11120,S,F,40000,2,0,1,1,5-10 Miles,Pacific,79
11121,M,M,70000,5,4,1,3,10+ Miles,Pacific,54
11122,M,M,70000,5,4,1,3,5-10 Miles,Pacific,55
11123,M,M,70000,5,4,1,3,10+ Miles,Pacific,55
11124,S,M,80000,1,0,1,1,5-10 Miles,Pacific,58
11125,S,F,70000,1,0,1,1,5-10 Miles,Pacific,59
11126,M,M,10000,2,1,0,2,0-1 Miles,Pacific,66
11127,M,F,40000,0,0,1,1,5-10 Miles,North America,39
11128,M,F,40000,0,0,1,1,5-10 Miles,North America,39
11129,S,F,40000,0,0,1,1,5-10 Miles,North America,40
11130,M,F,30000,0,0,1,2,5-10 Miles,North America,35
11131,M,F,30000,0,0,0,2,0-1 Miles,North America,35
11132,S,F,30000,0,0,0,2,5-10 Miles,North America,34
11133,S,F,30000,0,0,0,2,0-1 Miles,North America,35
11134,S,M,10000,5,0,1,2,5-10 Miles,Pacific,69
11135,S,M,30000,0,0,0,2,5-10 Miles,North America,35
11136,S,F,40000,0,0,0,2,0-1 Miles,North America,36
11137,M,F,40000,0,0,1,2,5-10 Miles,North America,37
11138,M,F,40000,0,0,0,2,0-1 Miles,North America,36
11139,S,F,30000,2,0,0,2,5-10 Miles,Pacific,76
11140,S,M,30000,0,0,0,2,5-10 Miles,North America,38
11141,M,F,40000,0,0,0,2,0-1 Miles,North America,38
11142,S,M,40000,0,0,0,2,0-1 Miles,North America,38
11143,M,M,40000,0,0,1,2,5-10 Miles,North America,38
11144,S,M,40000,0,0,0,2,0-1 Miles,North America,36
11145,S,F,40000,0,0,0,2,0-1 Miles,North America,35
11146,S,F,40000,2,0,1,2,5-10 Miles,Pacific,76
11147,M,M,60000,2,0,1,1,0-1 Miles,Pacific,76
11148,M,M,40000,2,0,1,2,5-10 Miles,Pacific,74
11149,M,M,40000,2,0,1,2,0-1 Miles,Pacific,74
11150,S,M,40000,2,0,1,2,5-10 Miles,Pacific,74
11151,S,F,60000,2,0,0,1,0-1 Miles,Pacific,73
11152,S,M,40000,0,0,1,2,5-10 Miles,North America,39
11153,M,F,40000,0,0,1,2,5-10 Miles,North America,39
11154,S,F,40000,0,0,1,1,5-10 Miles,North America,39
11155,S,M,40000,0,0,0,1,1-2 Miles,North America,39
11156,S,F,40000,0,0,0,1,1-2 Miles,North America,39
11157,M,F,40000,0,0,1,2,5-10 Miles,North America,40
11158,S,M,40000,0,0,1,2,5-10 Miles,North America,39
11159,S,F,40000,0,0,0,2,1-2 Miles,North America,39
11160,S,M,40000,0,0,0,1,5-10 Miles,North America,41
11161,S,F,40000,0,0,0,1,1-2 Miles,North America,41
11162,S,M,40000,0,0,1,1,5-10 Miles,North America,41
11163,M,M,40000,0,0,1,1,5-10 Miles,North America,40
11164,S,M,40000,0,0,0,1,1-2 Miles,North America,41
11165,M,F,60000,0,0,0,1,1-2 Miles,North America,42
11166,S,F,70000,0,0,0,2,0-1 Miles,North America,43
11167,S,F,80000,0,0,0,1,0-1 Miles,North America,43
11168,S,M,80000,0,0,0,1,0-1 Miles,North America,47
11169,M,M,90000,4,4,1,1,0-1 Miles,North America,47
11170,M,F,90000,4,4,1,1,0-1 Miles,North America,47
11171,S,M,100000,1,0,1,2,1-2 Miles,North America,47
11172,M,F,100000,1,0,1,2,1-2 Miles,North America,47
11173,S,F,110000,0,0,0,4,0-1 Miles,North America,48
11174,M,M,110000,0,1,1,0,2-5 Miles,North America,48
11175,S,M,70000,0,0,1,2,5-10 Miles,North America,52
11176,M,M,90000,4,4,1,1,1-2 Miles,North America,47
11177,M,M,110000,2,4,1,2,5-10 Miles,North America,73
11178,M,M,100000,2,3,1,3,1-2 Miles,North America,72
11179,M,F,120000,2,4,1,3,5-10 Miles,North America,72
11180,M,F,160000,1,3,1,4,0-1 Miles,North America,72
